Struct / class sizes determined by looking at ASM (CMwNod types)

CAudioBufferKeeper | addr:007A07E0 | minOffset:20 | maxOffset:60 | offsets:8 | size:UNKNOWN
CAudioMusic | addr:0079FB00 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:128
CAudioPort | addr:0079E310 | minOffset:20 | maxOffset:276 | offsets:26 | size:UNKNOWN
CAudioPortNull | addr:007A6860 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:280
CAudioSound | addr:0079F650 | minOffset:68 | maxOffset:116 | offsets:11 | size:120
CAudioSoundEngine | addr:0079FEC0 | minOffset:136 | maxOffset:368 | offsets:3 | size:372
CAudioSoundMulti | addr:0079FC60 | minOffset:120 | maxOffset:120 | offsets:1 | size:124
CAudioSoundSurface | addr:0079FD30 | minOffset:120 | maxOffset:124 | offsets:2 | size:136
CBlockVariable | addr:00941AC0 | minOffset:28 | maxOffset:44 | offsets:5 | size:UNKNOWN
CBoatParam | addr:008023B0 | minOffset:20 | maxOffset:296 | offsets:15 | size:300
CBoatSail | addr:00831C70 | minOffset:20 | maxOffset:204 | offsets:16 | size:212
CBoatSailState | addr:0082B5B0 | minOffset:20 | maxOffset:120 | offsets:9 | size:176
CBoatTeamActionDesc | addr:00803690 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CBoatTeamDesc | addr:008037E0 | minOffset:20 | maxOffset:48 | offsets:4 | size:52
CBoatTeamMateActionDesc | addr:00802CB0 | minOffset:36 | maxOffset:60 | offsets:6 | size:64
CBoatTeamMateLocationDesc | addr:008030C0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:40
CControlBase | addr:007634F0 | minOffset:108 | maxOffset:284 | offsets:25 | size:UNKNOWN
CControlButton | addr:0076FBF0 | minOffset:304 | maxOffset:368 | offsets:16 | size:376
CControlColorChooser | addr:00785200 | minOffset:356 | maxOffset:424 | offsets:10 | size:428
CControlColorChooser2 | addr:0078BDE0 | minOffset:352 | maxOffset:364 | offsets:4 | size:380
CControlContainer | addr:00766B80 | minOffset:144 | maxOffset:340 | offsets:14 | size:UNKNOWN
CControlCredit | addr:00786550 | minOffset:352 | maxOffset:436 | offsets:13 | size:440
CControlCurve | addr:00794DD0 | minOffset:376 | maxOffset:400 | offsets:4 | size:496
CControlDisplayGraph | addr:0077F380 | minOffset:252 | maxOffset:340 | offsets:12 | size:380
CControlEffect | addr:0078F280 | minOffset:20 | maxOffset:20 | offsets:1 | size:UNKNOWN
CControlEffectCombined | addr:0079A2A0 | minOffset:24 | maxOffset:24 | offsets:1 | size:28
CControlEffectMaster | addr:0077C520 | minOffset:20 | maxOffset:72 | offsets:14 | size:76
CControlEffectMotion | addr:0079C0C0 | minOffset:20 | maxOffset:36 | offsets:3 | size:80
